,Visitor,PTS,Home,PTS.1,visitorWin,homeWin,visTotWL,homeTotWL,visvisWL,homehomeWL,visMatchupWL,homeMatchupWL
311,Denver Nuggets,106,Philadelphia 76ers,98,1.0,0.0,,,,,,
312,Cleveland Cavaliers,116,Toronto Raptors,112,1.0,0.0,,,,,,
313,Chicago Bulls,91,Detroit Pistons,102,0.0,1.0,,,,,,
314,Philadelphia 76ers,91,Memphis Grizzlies,96,0.0,1.0,,,,,,
315,New York Knicks,114,Miami Heat,103,1.0,0.0,,,,,,
316,San Antonio Spurs,105,Minnesota Timberwolves,91,1.0,0.0,,,,,,
317,Phoenix Suns,105,Utah Jazz,112,0.0,1.0,,,,,,
318,Orlando Magic,124,Washington Wizards,116,1.0,0.0,,,,,,
319,Miami Heat,95,Atlanta Hawks,103,0.0,1.0,,,,,,
320,Denver Nuggets,111,Brooklyn Nets,116,0.0,1.0,,,,,,
321,Detroit Pistons,77,Charlotte Hornets,87,0.0,1.0,,,,,,
322,Sacramento Kings,120,Dallas Mavericks,89,1.0,0.0,,,,,,
323,Los Angeles Lakers,95,Houston Rockets,134,0.0,1.0,,,,,,
324,Golden State Warriors,115,Los Angeles Clippers,98,1.0,0.0,,,,,,
325,Portland Trail Blazers,107,Milwaukee Bucks,115,0.0,1.0,,,,,,
326,Cleveland Cavaliers,126,New York Knicks,94,1.0,0.0,,,,,,
327,Boston Celtics,117,Orlando Magic,87,1.0,0.0,,,,,,
328,Indiana Pacers,109,Phoenix Suns,94,1.0,0.0,,,,,,
329,San Antonio Spurs,91,Chicago Bulls,95,0.0,1.0,,,,,,
330,Portland Trail Blazers,86,Memphis Grizzlies,88,0.0,1.0,,,,,,
331,Philadelphia 76ers,99,New Orleans Pelicans,88,1.0,0.0,,,,,,
332,Minnesota Timberwolves,110,Toronto Raptors,124,0.0,1.0,,,,,,
333,Golden State Warriors,106,Utah Jazz,99,1.0,0.0,,,,,,
334,Denver Nuggets,85,Washington Wizards,92,0.0,1.0,,,,,,
335,Toronto Raptors,101,Boston Celtics,94,1.0,0.0,,,,,,
336,Orlando Magic,88,Charlotte Hornets,109,0.0,1.0,,,,,,
337,Miami Heat,84,Cleveland Cavaliers,114,0.0,1.0,,,,,,
338,Indiana Pacers,103,Dallas Mavericks,111,0.0,1.0,,,,,,
339,Phoenix Suns,119,Los Angeles Lakers,115,1.0,0.0,,,,,,
340,Atlanta Hawks,114,Milwaukee Bucks,110,1.0,0.0,,,,,,
341,Detroit Pistons,117,Minnesota Timberwolves,90,1.0,0.0,,,,,,
342,Houston Rockets,102,Oklahoma City Thunder,99,1.0,0.0,,,,,,
343,New York Knicks,103,Sacramento Kings,100,1.0,0.0,,,,,,
344,Miami Heat,100,Chicago Bulls,105,0.0,1.0,,,,,,
